date,dewPoint,humidity,maxTemp,minTemp,precipType
2013-11-02,24.9,0.39,58.54,41.93,rain
2013-11-03,18.55,0.35,61.61,33.21,rain
2013-11-04,15.49,0.3,60.38,32.77,rain
2013-11-05,19.68,0.36,58.06,33.51,rain
2013-11-06,16.33,0.34,59.01,33.26,rain
2013-11-07,16.78,0.32,58.57,32.59,rain
2013-11-08,9.43,0.24,64.37,32.27,rain
2013-11-09,13.45,0.3,55.0,39.0,rain
2013-11-10,26.32,0.63,42.83,34.0,rain
2013-11-11,27.01,0.63,44.51,34.0,rain
2013-11-12,28.65,0.8,37.96,32.0,rain
2013-11-13,28.29,0.74,42.52,31.99,rain
2013-11-14,27.73,0.73,45.28,28.02,rain
2013-11-15,26.28,0.71,46.83,25.73,rain
2013-11-16,25.32,0.68,46.75,24.97,rain
2013-11-17,24.3,0.65,47.23,24.03,rain
2013-11-18,23.39,0.62,48.36,24.5,rain
2013-11-19,22.68,0.63,45.12,25.73,rain
2013-11-20,17.59,0.54,46.0,25.26,rain
2013-11-21,-0.79,0.26,48.0,29.45,rain
2013-11-22,23.04,0.77,34.0,25.13,snow
2013-11-23,18.63,0.66,37.31,20.96,snow
2013-11-24,19.4,0.63,41.28,22.09,snow
2013-11-25,20.05,0.62,41.0,23.47,rain
2013-11-26,20.29,0.63,41.87,24.79,rain
2013-11-27,18.5,0.61,40.2,22.58,snow
2013-11-28,18.07,0.59,42.05,22.73,snow
2013-11-29,17.39,0.56,44.8,22.12,rain
2013-11-30,16.54,0.52,46.34,23.42,rain
2013-12-01,16.91,0.52,45.75,23.64,rain
2013-12-02,16.64,0.5,45.0,23.56,rain
2013-12-03,15.14,0.5,43.58,23.44,rain
2013-12-04,15.51,0.54,42.67,22.72,snow
2013-12-05,15.1,0.53,42.22,22.99,snow
2013-12-06,14.3,0.5,43.0,22.26,snow
2013-12-07,14.68,0.56,37.81,23.0,snow
2013-12-08,14.48,0.57,37.67,20.87,snow
2013-12-09,14.7,0.6,37.36,19.47,snow
2013-12-10,15.57,0.61,37.07,19.48,snow
2013-12-11,16.05,0.67,35.21,17.64,snow
2013-12-12,16.73,0.65,37.96,19.76,snow
2013-12-13,15.6,0.56,42.49,22.95,snow
2013-12-14,16.43,0.64,38.69,21.0,snow
2013-12-15,16.07,0.64,37.22,19.77,snow
2013-12-16,16.44,0.63,37.7,18.06,snow
2013-12-17,17.38,0.61,40.36,22.2,snow
2013-12-18,16.23,0.64,37.2,18.42,snow
2013-12-19,16.37,0.53,41.87,26.79,snow
2013-12-20,20.68,0.78,31.99,19.85,snow
2013-12-21,21.03,0.81,30.0,22.46,snow
2013-12-22,19.3,0.77,30.61,20.38,snow
2013-12-23,16.42,0.75,30.73,15.96,snow
2013-12-24,18.62,0.75,28.84,23.0,snow
2013-12-25,17.57,0.71,31.69,20.28,snow
2013-12-26,16.82,0.73,29.02,21.42,snow
2013-12-27,16.65,0.78,27.16,19.0,snow
2013-12-28,15.34,0.78,26.24,17.71,snow
2013-12-29,14.73,0.76,26.99,13.97,snow
2013-12-30,14.73,0.71,28.24,19.0,snow
2013-12-31,11.88,0.71,25.93,14.34,snow
2014-01-01,12.1,0.71,29.58,14.0,snow
