"permit_id"	"name"	"address"	"category"	"permit_url"	"map_url"	"phone_num"	"YelpID"	"lat"	"lon"
147823	"BAR CHARLEY"	"1825 18TH ST NW Washington, DC 20009"	"Restaurant Total"	"http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=147823"	"http://maps.google.com/maps?q=1825 18TH ST NW Washington, DC 20009"	2026272183	"bar-charley-washington"	38.915034	-77.041386
187369	"BAR CIVITA"	"2609 24TH ST NW Washington, DC 20008"	"Restaurant Total"	"http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=187369"	"http://maps.google.com/maps?q=2609 24TH ST NW Washington, DC 20008"	2025881211	"bar-civita-washington"	38.9238366	-77.0523694
4902	"BAR CIVITA"	"2609 24TH ST NW Washington, DC 20008"	"Restaurant Total"	"http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=4902"	"http://maps.google.com/maps?q=2609 24TH ST NW Washington, DC 20008"	2025881211	"murphys-of-dc-washington"	38.9238366	-77.0523694
2725	"BAR CIVITA"	"2609 24TH ST NW Washington, DC 20008"	"Restaurant Total"	"http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=2725"	"http://maps.google.com/maps?q=2609 24TH ST NW Washington, DC 20008"		"murphys-of-dc-washington"	38.9238366	-77.0523694
147678	"BAR DI BARI "	"1401 R ST NW WASHINGTON, DC 20009"	"Restaurant Total"	"http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=147678"	"http://maps.google.com/maps?q=1401 R ST NW WASHINGTON, DC 20009"	2022137695	"closed"	38.9127883	-77.0322335
3798	"BAR LOUIE"	"701 7TH ST NW Washington, DC 20001"	"Restaurant Total"	"http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=3798"	"http://maps.google.com/maps?q=701 7TH ST NW Washington, DC 20001"	2026382460	"bar-louie-washington"	38.89923	-77.0208633
1663	"BAR NUN"	"1326 U ST NW Washington, DC 20009"	"Restaurant Total"	"http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=1663"	"http://maps.google.com/maps?q=1326 U ST NW Washington, DC 20009"	2022907058	"pure-lounge-washington"	38.9167784	-77.0307164
2226	"BAR PILAR "	"1833 14TH ST NW Washington, DC 20009"	"Restaurant Total"	"http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=2226"	"http://maps.google.com/maps?q=1833 14TH ST NW Washington, DC 20009"	2022651751	"bar-pilar-washington"	38.915125	-77.0315917
187380	"BARCELON WINE BAR"	"3310 WISCONSIN AVE NW WASHINGTON, DC 20016"	"Restaurant Total"	"http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=187380"	"http://maps.google.com/maps?q=3310 WISCONSIN AVE NW WASHINGTON, DC 20016"	2028004100	"barcelona-wine-bar-cathedral-heights-washington-2"	38.9340271	-77.072774
147896	"BARCELONA RESTAURANT/BARCELONA WINE BAR"	"1622 14TH ST NW WASHINGTON, DC 20009"	"Restaurant Total"	"http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=147896"	"http://maps.google.com/maps?q=1622 14TH ST NW WASHINGTON, DC 20009"	2025885500	"barcelona-14th-street-washington"	38.9121127	-77.0323255
5357	"BARCODE  "	"1101 17TH ST NW Washington, DC 20036"	"Restaurant Total"	"http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=5357"	"http://maps.google.com/maps?q=1101 17TH ST NW Washington, DC 20036"	2029559001	"Bar-cöde-washington-2"	38.9041053	-77.0380755
172685	"BARDO BREWPUB"	"1216 BLADENSBURG RD NE WASHINGTON, DC 20002"	"Restaurant Total"	"http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=172685"	"http://maps.google.com/maps?q=1216 BLADENSBURG RD NE WASHINGTON, DC 20002"	7622337070	"bardo-washington"	38.905865	-76.980026
172477	"BARDO TAVERN & BREWPUB "	"1216 BLADENSBURG RD NE WASHINGTON, DC 20002"	"Restaurant Total"	"http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=172477"	"http://maps.google.com/maps?q=1216 BLADENSBURG RD NE WASHINGTON, DC 20002"	7622337070	"bardo-washington"	38.905865	-76.980026
188423	"BAREBURGER"	"1647 20TH ST NW Washington, DC 20009"	"Restaurant Total"	"http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=188423"	"http://maps.google.com/maps?q=1647 20TH ST NW Washington, DC 20009"	2028884582	"bareburger-washington"	38.9118066	-77.0448435
172770	"BARNES & NOBLE CAFE"	"625 MONROE ST NE WASHINGTON, DC 20017"	"Restaurant Total"	"http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=172770"	"http://maps.google.com/maps?q=625 MONROE ST NE WASHINGTON, DC 20017"	2025943300	"barnes-and-noble-cafe-at-cua-washington"	38.9318644	-76.9971168
173142	"BASIL THAI RESTAURANT"	"1608 WISCONSIN AVE NW Washington, DC 20007"	"Restaurant Total"	"http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=173142"	"http://maps.google.com/maps?q=1608 WISCONSIN AVE NW Washington, DC 20007"	2029448660	"basil-thai-restaurant-washington"	38.9110713	-77.0655063
1924	"BASIL THAI RESTAURANT"	"1608 WISCONSIN AVE NW Washington, DC 20007"	"Restaurant Total"	"http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=1924"	"http://maps.google.com/maps?q=1608 WISCONSIN AVE NW Washington, DC 20007"	2029448660	"basil-thai-restaurant-washington"	38.9110713	-77.0655063
2703	"BAYOU"	"2519 PENNSYLVANIA AVE NW Washington, DC 20037"	"Restaurant Total"	"http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=2703"	"http://maps.google.com/maps?q=2519 PENNSYLVANIA AVE NW Washington, DC 20037"	2022236941	"bayou-washington"	38.9041799	-77.053833
187427	"BAYOU BAKERY"	"921 PENNSYLVANIA AVE SE WASHINGTON, DC 20003"	"Restaurant Total"	"http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=187427"	"http://maps.google.com/maps?q=921 PENNSYLVANIA AVE SE WASHINGTON, DC 20003"	2023380307	"bayou-bakery-washington-3"	38.8829927	-76.9931301
137295	"BEACON HOTEL & CORPORATE QUARTERS "	"1615 RHODE ISLAND AVE NW Washington, DC 20036"	"Restaurant Total"	"http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=137295"	"http://maps.google.com/maps?q=1615 RHODE ISLAND AVE NW Washington, DC 20036"		"the-beacon-hotel-washington"	38.9069817	-77.0380294
1934	"BEACON HOTEL & CORPORATE QUARTERS "	"1615 RHODE ISLAND AVE NW Washington, DC 20036"	"Restaurant Total"	"http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=1934"	"http://maps.google.com/maps?q=1615 RHODE ISLAND AVE NW Washington, DC 20036"		"the-beacon-hotel-washington"	38.9069817	-77.0380294
147713	"BEARNAISE"	"313 PENNSYLVANIA AVE SE Washington, DC 20003"	"Restaurant Total"	"http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=147713"	"http://maps.google.com/maps?q=313 PENNSYLVANIA AVE SE Washington, DC 20003"	2023525083	"béarnaise-washington-2"	38.886542	-77.001586
173109	"BEAU THAI"	"1550 7TH ST NW WASHINGTON, DC 20001"	"Restaurant Total"	"http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=173109"	"http://maps.google.com/maps?q=1550 7TH ST NW WASHINGTON, DC 20001"	2025365636	"beau-thai-washington-4"	38.9109502	-77.0221507
