inspec_id,permit_id,insp_date_x,insp_timein,insp_type,crit_viol,non_crit_viol,crit_viol_cos,crit_viol_rpt,non_crit_viol_cos,non_crit_viol_rpt,crit_viol_tbr,non_crit_viol_tbr,lat,lon
825217,2774,2016-05-23,13:00:00,Routine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.9045011,-77.0575363
611818,147986,2015-04-23,11:45:00,Routine,9.0,2.0,3.0,0.0,0.0,0.0,6.0,2.0,38.9008796,-77.023965
611832,6669,2015-04-24,09:10:00,Routine,8.0,3.0,1.0,0.0,0.0,0.0,7.0,3.0,38.9105195,-77.0471543
611890,6431,2015-04-27,12:15:00,Routine,2.0,3.0,0.0,0.0,0.0,0.0,2.0,3.0,38.902269,-77.0371149
821178,6431,2015-12-24,09:40:00,Routine,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,38.902269,-77.0371149
611917,5429,2015-04-27,13:38:00,Routine,2.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,38.9029322,-77.0378672
810291,173042,2015-05-11,11:00:00,Routine,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,38.9004087,-76.9910258
810298,2489,2015-05-11,13:10:00,Routine,2.0,3.0,1.0,0.0,0.0,0.0,1.0,3.0,38.911755,-77.047859
810337,147264,2015-05-12,11:30:00,Routine,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,38.960427,-77.0849152
810345,2046,2015-05-12,13:05:00,Routine,9.0,6.0,5.0,0.0,0.0,0.0,4.0,6.0,38.9053912,-77.0392143
810372,172821,2015-05-13,11:25:00,Routine,12.0,5.0,3.0,0.0,0.0,0.0,9.0,5.0,38.9035686,-77.0482944
820548,172821,2015-11-23,11:25:00,Routine,8.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,38.9035686,-77.0482944
822806,172821,2016-03-04,13:30:00,Routine,9.0,5.0,1.0,0.0,0.0,0.0,8.0,5.0,38.9035686,-77.0482944
810381,172814,2015-05-13,14:15:00,Routine,6.0,5.0,1.0,0.0,0.0,0.0,5.0,5.0,38.904105,-77.0470815
824456,172814,2016-05-09,10:30:00,Routine,6.0,3.0,2.0,0.0,0.0,0.0,4.0,3.0,38.904105,-77.0470815
810437,173017,2015-05-14,12:20:00,Routine,10.0,4.0,1.0,0.0,0.0,0.0,9.0,4.0,38.9168001,-77.0411948
