inspec_id,permit_id,insp_date_x,insp_timein,insp_type,crit_viol,non_crit_viol,crit_viol_cos,crit_viol_rpt,non_crit_viol_cos,non_crit_viol_rpt,crit_viol_tbr,non_crit_viol_tbr
813837,2298,2015-10-05,11:25:00,Routine,4.0,3.0,0.0,0.0,0.0,0.0,4.0,3.0
813862,4132,2015-10-06,10:50:00,Routine,2.0,4.0,1.0,0.0,1.0,0.0,1.0,3.0
813863,137240,2015-10-06,11:55:00,Routine,3.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0
813896,137296,2015-10-06,11:15:00,Routine,5.0,1.0,3.0,0.0,1.0,0.0,2.0,0.0
813917,6137,2015-10-07,12:50:00,Routine,4.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0
813928,6798,2015-10-07,09:25:00,Routine,3.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0
813933,1657,2015-10-07,11:25:00,Routine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
813943,187320,2015-10-07,12:30:00,Routine,4.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0
813945,3047,2015-10-07,12:55:00,Routine,4.0,5.0,0.0,0.0,0.0,0.0,4.0,5.0
813946,1660,2015-10-07,11:30:00,Routine,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
813982,2860,2015-10-09,10:25:00,Routine,2.0,5.0,1.0,0.0,1.0,0.0,1.0,4.0
813983,187547,2015-10-09,11:12:00,Routine,4.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0
814009,147896,2015-10-09,11:00:00,Routine,3.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0
814010,172584,2015-10-07,11:01:00,Routine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
814029,1678,2015-10-13,10:00:00,Routine,5.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0
814037,2606,2015-10-13,13:03:00,Routine,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
814039,2479,2015-10-13,09:30:00,Routine,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
814042,725,2015-10-13,14:15:00,Routine,4.0,1.0,1.0,0.0,1.0,0.0,3.0,0.0
814044,2023,2015-10-13,09:15:00,Routine,12.0,6.0,2.0,0.0,0.0,0.0,10.0,6.0
814047,137277,2015-10-13,12:30:00,Routine,4.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0
814053,137293,2015-10-13,14:25:00,Routine,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
814057,3576,2015-10-13,10:55:00,Routine,5.0,2.0,1.0,0.0,1.0,0.0,4.0,1.0
814066,4181,2015-10-13,12:50:00,Routine,4.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0
814073,4599,2015-10-14,10:40:00,Routine,8.0,7.0,3.0,0.0,2.0,0.0,5.0,5.0
814086,4599,2015-10-14,14:48:00,HACCP,2.0,2.0,0.0,0.0,1.0,0.0,2.0,1.0
814088,2842,2015-10-14,13:40:00,Routine,8.0,1.0,0.0,0.0,0.0,0.0,8.0,1.0
814089,2636,2015-10-14,11:15:00,Routine,4.0,3.0,2.0,0.0,0.0,0.0,2.0,3.0
814094,4050,2015-10-14,12:45:00,Routine,2.0,3.0,0.0,0.0,0.0,0.0,2.0,3.0
814117,147919,2015-10-15,11:15:00,Routine,7.0,1.0,1.0,1.0,1.0,0.0,6.0,0.0
814118,6318,2015-10-15,11:34:00,Routine,3.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0
814125,2149,2015-10-15,10:50:00,Routine,3.0,3.0,1.0,0.0,0.0,0.0,2.0,3.0
814133,6732,2015-10-15,10:55:00,Routine,5.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0
814142,172258,2015-10-16,10:40:00,Routine,6.0,4.0,3.0,0.0,0.0,0.0,3.0,4.0
814165,2008,2015-10-16,10:20:00,Routine,6.0,2.0,4.0,0.0,0.0,0.0,2.0,2.0
814167,6124,2015-10-16,12:10:00,Routine,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
814171,2713,2015-10-16,12:35:00,Routine,5.0,1.0,2.0,0.0,0.0,0.0,3.0,1.0
814176,862,2015-10-16,11:26:00,Routine,3.0,1.0,1.0,2.0,0.0,1.0,2.0,1.0
