license_number,report_id
0931339101633,183702
0931371100155,183704
0931312000091,183705
0931369004079,183707
0931368002036,183721
0931370103072,183724
0931350004914,183725
9313050007359,183737
0931370103726,183738
9305068001929,183744
2081167000391,183754
0931369001939,183755
0931313000281,183770
0931369006783,183772
0931313000104,183773
0931313000157,183776
0931368000157,183778
0931313000281,183785
0931370101803,183792
0931366005043,183814
0931366006960,183820
9313153001283,183825
0931370104282,183826
0931312000052,183830
0931366005516,183832
0931350006342,183848
0931313000019,183882
0931367001648,183887
0931370108805,183893
0931312000100,183894
0931313000084,183897
0931370103072,183903
0931371100155,183904
0931370107681,183908
0930570116002,183911
9305068001929,183919
0931369003001,183928
0931369008979,183934
0931367006631,183939
0931367001648,183954
0931339701419,183963
0931366006960,183970
0931368003212,183975
0931369007517,183976
0931311003437,183983
9313153001283,183985
0930568001733,183986
0931313000114,183997
0931312000050,184001
0931313000019,184007
0931339500509,184008
0931370109808,184010
0931313000084,184011
0931353001334,184013
0931370100129,184016
0931366005084,184029
0931314000058,184031
0931350000798,184043
9305013000191,184044
9313040006226,184051
0931320000209,184052
0931313000104,184053
0931365003104,184054
0931339208713,184055
0931364000648,184065
0931368003520,184066
0931339503383,184068
0931313000107,184083
0931312000034,184084
0931341002418,192115
0931368002914,192117
0931350004914,192118
0931350003090,192120
0931312000100,192137
0931314000058,192140
0931339405634,192142
0931350003090,192143
0931350003090,192146
0931367003213,192156
0931315000179,192162
0931339503383,192165
0931370108977,192166
0931313000164,192172
0931341005215,192178
0931313000164,192185
0931370104282,198088
0931339935801,198090
0931366002886,198091
0931370109808,198125
0931339802042,198130
0931315000011,198133
2041967001688,198137
0931339002572,198146
0931313000024,198147
0931313000114,198149
0931339802039,198162
0931366004710,198167
0931339935801,198185
0931339405634,198188
9313012000129,198191
0931339208713,198194
0930568001828,198195
09313130000295,198222
0931366002886,198235
0931313000157,198236
0931313000229,198259
0931313000304,198262
0931313000321,198266
0931365004940,198267
0931340000509,198282
0931370101044,198285
0931312000043,198290
0931365006003,198302
0931367003548,198304
0931312000060,198316
0931340000601,198317
0931339703561,198318
0931371100350,198325
0931365000818,198327
0931311000006,198335
09313701004295,198341
0931350009486,198349
0931369008980,198361
0931313000304,198368
0931371102760,198387
0931371102272,198391
0931369008980,198392
0931339105785,198401
0931313000309,198409
0931368005976,198414
0931313000307,198419
0931313000309,198420
0931353001193,198423
0931340000601,198429
0931353003241,198431
0931353005427,198432
0931364003552,198433
0931339703561,198446
0931315000030,198449
0931313000137,198457
0931365006003,198466
0931313000314,198480
0931369004459,198502
0931313000034,198503
0931315000179,198505
0931313000229,198514
0931313000316,198534
0931368005976,198537
0931339002572,198548
0931312000157,198553
,198556
09313130000317,198559
