,crit_viol,yelp_rating,yelp_reviews,risk,insp_badge,crime_count,311_count,construction_count,avg_high_temp,time_diff,target
591,5,3.5,423,3,124,13.0,0.0,13.0,32.67,-571,1
590,5,3.5,423,3,611,17.0,0.0,7.0,68.99,-415,1
1195,6,4.5,60,2,624,4.0,0.0,6.0,85.75,-320,1
1194,1,4.5,60,2,26,6.0,0.0,1.0,28.76,-197,0
1193,1,4.5,60,2,422,7.0,0.0,2.0,93.54,-190,0
1192,5,4.5,60,2,603,2.0,0.0,2.0,26.38,-200,1
276,8,4.0,238,3,607,16.0,0.0,11.0,77.22,-322,1
275,2,4.0,238,3,54,14.0,0.0,7.0,49.6,-189,0
1369,6,3.5,47,3,607,5.0,0.0,4.0,30.52,-202,1
1368,5,3.5,47,3,603,2.0,0.0,3.0,67.19,-257,1
783,6,4.0,23,3,603,25.0,0.0,9.0,35.34,-508,1
139,4,4.0,23,3,82,28.0,0.0,13.0,64.59,-287,0
782,3,4.0,23,3,59,19.0,0.0,12.0,87.92,-208,0
865,6,2.5,3,4,64,12.0,0.0,2.0,54.04,-227,1
864,4,2.5,3,4,26,10.0,0.0,4.0,81.03,-550,0
863,3,2.5,3,4,124,4.0,0.0,0.0,59.42,-194,0
861,2,3.5,80,3,607,4.0,0.0,2.0,52.15,-118,0
83,0,3.0,16,3,64,12.0,0.0,7.0,73.05,-273,0
82,2,3.0,16,3,87,10.0,0.0,6.0,81.61,-124,0
162,2,3.0,16,3,87,15.0,0.0,9.0,84.74,-15,0
161,8,3.0,16,3,624,16.0,0.0,5.0,39.76,-123,1
81,6,3.0,16,3,624,14.0,0.0,6.0,39.72,-3,1
160,0,3.0,16,3,54,19.0,0.0,7.0,82.17,-202,0
80,0,3.0,16,3,26,19.0,0.0,6.0,81.24,-35,0
79,1,3.0,16,3,422,11.0,0.0,6.0,72.9,-238,0
61,9,3.0,23,3,603,10.0,0.0,5.0,35.69,-412,1
60,4,3.0,23,3,603,5.0,0.0,5.0,81.03,-205,0
617,3,3.0,23,3,89,9.0,0.0,10.0,69.14,-47,0
59,9,3.0,23,3,624,8.0,0.0,5.0,32.68,-76,1
616,1,3.0,23,3,16,9.0,0.0,4.0,45.91,-55,0
58,2,3.0,23,3,612,12.0,0.0,6.0,68.18,-35,0
806,1,3.0,17,3,89,5.0,0.0,7.0,53.44,-335,0
805,4,3.0,17,3,87,10.0,0.0,5.0,91.58,-184,0
804,4,3.0,17,3,89,5.0,0.0,14.0,41.42,-202,0
803,3,3.0,17,3,422,14.0,0.0,4.0,75.71,-140,0
1276,1,5.0,1,2,88,19.0,0.0,5.0,98.52,-343,0
1275,2,5.0,1,2,29,17.0,1.0,7.0,32.48,-180,0
1274,2,5.0,1,2,54,11.0,0.0,9.0,72.93,-280,0
244,1,3.0,27,3,88,20.0,0.0,11.0,84.55,-266,0
263,3,3.0,27,3,88,22.0,0.0,12.0,84.55,0,0
291,3,3.0,27,3,88,23.0,0.0,14.0,84.08,-29,0
318,5,3.0,27,3,89,13.0,0.0,8.0,67.55,-42,1
288,2,3.0,27,3,607,23.0,0.0,9.0,39.76,-82,0
290,3,3.0,27,3,29,15.0,0.0,4.0,35.26,-42,0
