,crit_viol,yelp_rating,yelp_reviews,risk,insp_badge,crime_count,311_count,construction_count,avg_high_temp,time_diff,target
86,1,2.5,33,2,64,1.0,0.0,0.0,79.37,-864,0
87,5,3.5,388,3,54,9.0,0.0,4.0,66.91,-864,1
88,8,4.0,990,3,82,11.0,1.0,0.0,87.74,-864,1
89,8,4.0,345,3,64,7.0,0.0,6.0,31.17,-864,1
90,1,3.5,236,3,611,0.0,0.0,0.0,30.25,-864,0
91,1,4.0,100,2,611,5.0,0.0,0.0,38.83,-864,0
92,10,4.5,181,3,29,24.0,0.0,4.0,87.74,-864,1
93,10,4.5,181,3,624,7.0,0.0,5.0,24.68,-106,1
94,5,2.5,11,2,603,19.0,1.0,10.0,58.31,-864,1
95,4,4.0,477,2,82,19.0,0.0,6.0,38.29,-864,0
96,4,3.0,872,3,601,20.0,0.0,5.0,38.29,-864,0
97,3,2.5,46,3,603,25.0,1.0,3.0,87.85,-864,0
98,2,2.5,46,3,82,26.0,0.0,12.0,34.34,-120,0
99,2,1.5,9,3,607,6.0,1.0,0.0,79.37,-864,0
100,7,4.0,276,2,26,13.0,1.0,9.0,37.38,-864,1
101,4,3.0,97,5,107,6.0,0.0,4.0,77.63,-864,0
102,1,4.0,233,3,82,10.0,0.0,7.0,69.15,-864,0
103,2,4.0,233,3,107,25.0,0.0,9.0,31.73,-84,0
104,3,4.0,3,3,422,8.0,0.0,12.0,38.51,-864,0
105,5,3.0,60,3,26,13.0,0.0,6.0,69.65,-864,1
106,3,3.5,371,3,64,0.0,0.0,1.0,77.93,-864,0
107,5,3.0,16,3,82,21.0,0.0,4.0,40.82,-864,1
108,7,3.0,213,3,26,19.0,0.0,0.0,84.94,-864,1
109,4,2.5,62,2,64,21.0,0.0,4.0,78.43,-864,0
110,7,3.5,87,3,64,21.0,0.0,4.0,78.43,-864,1
111,2,3.0,15,3,88,12.0,2.0,2.0,80.41,-864,0
112,6,3.0,15,3,54,4.0,0.0,9.0,26.08,-100,1
113,5,2.5,7,3,26,0.0,2.0,0.0,83.68,-864,1
114,2,3.0,36,3,124,0.0,3.0,0.0,77.93,-864,0
115,4,3.0,36,3,107,7.0,0.0,6.0,38.29,-138,0
116,4,3.0,146,3,88,11.0,0.0,7.0,83.04,-864,0
117,5,3.5,66,3,82,12.0,0.0,3.0,60.48,-864,1
118,5,3.5,66,3,82,9.0,0.0,12.0,29.11,-31,1
119,1,3.5,66,2,87,24.0,0.0,8.0,31.14,-13,0
120,2,3.0,37,3,82,10.0,0.0,5.0,37.38,-864,0
121,1,4.0,109,3,88,0.0,0.0,0.0,87.85,-864,0
122,2,3.0,54,3,29,7.0,0.0,11.0,54.35,-864,0
123,6,3.0,41,2,624,18.0,0.0,2.0,60.79,-864,1
124,0,4.0,92,3,54,0.0,3.0,1.0,86.9,-864,0
125,2,5.0,1,3,82,21.0,0.0,7.0,66.13,-864,0
126,1,3.5,148,5,82,18.0,0.0,7.0,55.11,-864,0
127,2,3.5,148,5,54,35.0,1.0,6.0,31.17,-61,0
128,6,4.0,213,3,54,9.0,0.0,12.0,38.29,-864,1
129,2,3.5,28,2,603,15.0,0.0,7.0,60.48,-864,0
130,6,3.5,291,3,607,6.0,0.0,11.0,36.36,-864,1
131,2,3.5,220,3,422,19.0,2.0,7.0,34.34,-864,0
132,4,3.5,310,4,107,5.0,0.0,0.0,80.98,-864,0
133,5,3.5,341,3,82,17.0,0.0,1.0,80.98,-864,1
134,4,3.5,38,3,607,2.0,1.0,4.0,69.36,-864,0
135,4,3.0,55,3,64,15.0,0.0,5.0,43.13,-864,0
136,2,3.5,62,3,64,7.0,0.0,4.0,78.43,-864,0
137,7,3.5,627,3,19,15.0,0.0,4.0,52.13,-864,1
138,3,4.0,223,3,88,10.0,0.0,9.0,66.89,-864,0
139,2,4.5,88,3,624,7.0,0.0,6.0,55.28,-864,0
