,inspec_id,permit_id,crit_viol,non_crit_viol,crit_viol_cos,crit_viol_rpt,non_crit_viol_cos,non_crit_viol_rpt,crit_viol_tbr,non_crit_viol_tbr,lat,lon,risk,insp_badge,yelp_rating,yelp_reviews,violation
1339,824246,2470,3.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,38.9011672,-77.047247,2,64.0,3.0,28,0
1340,204416,1332,7.0,1.0,5.0,1.0,0.0,0.0,2.0,1.0,38.9204477,-77.02736,3,54.0,3.5,279,1
1341,611577,1332,4.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,38.9204477,-77.02736,3,59.0,3.5,279,0
1342,814260,1332,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,38.9204477,-77.02736,3,611.0,3.5,279,0
1343,204432,148001,3.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,38.9100084,-77.0322879,3,64.0,2.0,50,0
1344,810793,148001,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,38.9100084,-77.0322879,3,29.0,2.0,50,0
1345,204482,147496,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,38.915994,-77.04689,2,54.0,3.0,41,0
1346,204482,147496,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,38.915994,-77.04689,2,54.0,3.0,41,0
1347,204482,147496,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,38.915994,-77.04689,2,54.0,3.0,41,0
1348,611134,147496,5.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,38.915994,-77.04689,2,29.0,3.0,41,1
1349,611134,147496,5.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,38.915994,-77.04689,2,29.0,3.0,41,1
1350,611134,147496,5.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,38.915994,-77.04689,2,29.0,3.0,41,1
1351,823347,147496,6.0,2.0,1.0,0.0,0.0,0.0,5.0,2.0,38.915994,-77.04689,2,624.0,3.0,41,1
1352,823347,147496,6.0,2.0,1.0,0.0,0.0,0.0,5.0,2.0,38.915994,-77.04689,2,624.0,3.0,41,1
