doh_id,insp_rpt,yelp_rating,yelp_reviews
1536,201735,4,62
1536,610490,4,62
1546,200104,4,30
1546,201829,4,30
1546,404373,4,30
1546,823098,4,30
1575,204585,3,16
1575,204585,3,16
1575,607179,3,16
1575,607179,3,16
1575,810550,3,16
1575,810550,3,16
1618,202666,3.5,556
1618,607405,3.5,556
1624,205407,2.5,456
1624,607506,2.5,456
1624,811324,2.5,456
1624,822046,2.5,456
1660,200122,3,37
1660,202616,3,37
1660,205425,3,37
1660,813946,3,37
1675,153434,3.5,342
1675,205423,3.5,342
1675,812344,3.5,342
1678,199333,3.5,30
1678,204557,3.5,30
1678,405519,3.5,30
1678,611720,3.5,30
1678,814029,3.5,30
1678,824165,3.5,30
1695,200706,3.5,66
1695,200706,3.5,66
1695,200706,3.5,66
1695,610639,3.5,66
1695,610639,3.5,66
1695,610639,3.5,66
1695,821987,3.5,66
1695,821987,3.5,66
1695,821987,3.5,66
1697,404444,3,553
1697,811660,3,553
1720,198325,2,13
1720,205680,2,13
1720,812129,2,13
1741,119356,4,87
1741,198505,4,87
1741,611290,4,87
1766,200397,3.5,41
1766,200397,3.5,41
1766,200397,3.5,41
1766,200397,3.5,41
1766,200397,3.5,41
1766,405501,3.5,41
1766,405501,3.5,41
1766,405501,3.5,41
1766,405501,3.5,41
1766,405501,3.5,41
1766,810128,3.5,41
1766,810128,3.5,41
1766,810128,3.5,41
1766,810128,3.5,41
1766,810128,3.5,41
1767,198746,3.5,343
1767,202716,3.5,343
1767,607637,3.5,343
1817,183631,3.5,61
1817,183631,3.5,61
1817,201844,3.5,61
1817,201844,3.5,61
1817,607858,3.5,61
1817,607858,3.5,61
1817,819806,3.5,61
1817,819806,3.5,61
1829,607936,3.5,747
1857,611433,4,27
1883,200976,3.5,452
1883,810877,3.5,452
1889,199247,3.5,382
1889,611107,3.5,382
1904,198956,4,28
1904,198956,4,28
1904,202928,4,28
1904,202928,4,28
1924,205690,3.5,107
1924,205690,3.5,107
1928,183721,3,258
1928,202147,3,258
1928,606610,3,258
1948,405222,3,365
1950,202782,4,550
1950,205248,4,550
1950,812924,4,550
1953,192156,4,14
1953,812884,4,14
1974,404483,3.5,217
1974,810807,3.5,217
1974,821549,3.5,217
1992,105185,3.5,82
2019,119210,4.5,71
2019,810490,4.5,71
2023,199472,3.5,121
2023,202203,3.5,121
2023,204844,3.5,121
2023,611470,3.5,121
2023,814044,3.5,121
2037,199591,4,3
2037,405921,4,3
2037,610711,4,3
2037,822086,4,3
2045,607132,2.5,350
2046,810345,3.5,25
2046,810345,3.5,25
2056,183820,3,207
2056,606094,3,207
2056,812328,3,207
2057,198866,3,27
2057,198866,3,27
2057,198866,3,27
2057,198866,3,27
2057,198866,3,27
2057,203215,3,27
2057,203215,3,27
2057,203215,3,27
2057,203215,3,27
2057,203215,3,27
2057,406058,3,27
2057,406058,3,27
2057,406058,3,27
2057,406058,3,27
2057,406058,3,27
2057,811442,3,27
2057,811442,3,27
2057,811442,3,27
2057,811442,3,27
2057,811442,3,27
2074,404881,3,213
2074,610358,3,213
2074,814317,3,213
2074,824458,3,213
2076,183887,4,1332
2076,610303,4,1332
2085,610141,4,236
2129,405579,3.5,290
2129,810435,3.5,290
2149,183848,4.5,2
2149,183848,4.5,2
2149,200579,4.5,2
2149,200579,4.5,2
2149,405620,4.5,2
2149,405620,4.5,2
2149,810170,4.5,2
2149,810170,4.5,2
2149,814125,4.5,2
2149,814125,4.5,2
2150,198904,3.5,81
2150,198904,3.5,81
2150,198904,3.5,81
2150,607176,3.5,81
2150,607176,3.5,81
2150,607176,3.5,81
2153,198863,3,27
2153,198863,3,27
2153,198863,3,27
2153,198863,3,27
2153,198863,3,27
2153,606142,3,27
2153,606142,3,27
2153,606142,3,27
2153,606142,3,27
2153,606142,3,27
2153,811434,3,27
2153,811434,3,27
2153,811434,3,27
2153,811434,3,27
2153,811434,3,27
2170,200658,3.5,370
2181,405163,3.5,388
2181,811357,3.5,388
2181,823596,3.5,388
2188,606340,2.5,79
2188,821022,2.5,79
2215,201177,2.5,41
2215,405138,2.5,41
2215,810438,2.5,41
2221,205800,3.5,81
2221,205800,3.5,81
2221,205800,3.5,81
2221,607193,3.5,81
2221,607193,3.5,81
2221,607193,3.5,81
2223,405904,4,238
2223,810738,4,238
2223,823821,4,238
2226,200595,3.5,416
2226,405161,3.5,416
2226,825249,3.5,416
2227,184051,3.5,158
2227,405164,3.5,158
2228,811242,3.5,233
2228,811242,3.5,233
2239,205411,3.5,488
2239,610209,3.5,488
2239,812963,3.5,488
2239,824196,3.5,488
2243,607182,3,27
2243,607182,3,27
2243,607182,3,27
2243,607182,3,27
2243,607182,3,27
2244,198899,3,27
2244,198899,3,27
2244,198899,3,27
2244,198899,3,27
2244,198899,3,27
2244,606313,3,27
2244,606313,3,27
2244,606313,3,27
2244,606313,3,27
2244,606313,3,27
2244,810604,3,27
2244,810604,3,27
2244,810604,3,27
2244,810604,3,27
2244,810604,3,27
2284,611305,3,93
2298,183832,2.5,16
2298,200578,2.5,16
2298,405374,2.5,16
2298,810569,2.5,16
2298,813837,2.5,16
2298,824822,2.5,16
2303,183307,4,33
2303,183307,4,33
2303,200128,4,33
2303,200128,4,33
2303,204501,4,33
2303,204501,4,33
2303,610687,4,33
2303,610687,4,33
2303,813757,4,33
2303,813757,4,33
2310,198900,3.5,90
2310,606381,3.5,90
2310,823053,3.5,90
2336,119224,3.5,435
2336,404775,3.5,435
2336,611108,3.5,435
2336,823437,3.5,435
2344,119402,3,79
2344,201418,3,79
2344,820841,3,79
2382,198759,3,27
2382,198759,3,27
2382,198759,3,27
2382,198759,3,27
2382,198759,3,27
2382,202414,3,27
2382,202414,3,27
2382,202414,3,27
2382,202414,3,27
2382,202414,3,27
2382,204750,3,27
