,inspec_id,permit_id,insp_date_x,insp_timein,insp_type,crit_viol,non_crit_viol,crit_viol_cos,crit_viol_rpt,non_crit_viol_cos,non_crit_viol_rpt,crit_viol_tbr,non_crit_viol_tbr,lat,lon,risk,insp_badge
839,203748,147973,2014-05-21,10:45:00,Routine,11.0,2.0,5.0,0.0,0.0,0.0,6.0,2.0,38.9127558,-77.0124054,2,624.0
840,811325,147973,2015-06-15,10:50:00,Routine,5.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,38.9127558,-77.0124054,2,422.0
841,825305,147973,2016-06-06,18:00:00,Routine,5.0,1.0,3.0,0.0,0.0,0.0,2.0,1.0,38.9127558,-77.0124054,2,54.0
842,199895,2479,2013-11-13,12:05:00,Routine,6.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,38.9187892,-77.0691033,3,26.0
843,610390,2479,2015-03-10,12:45:00,Routine,6.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,38.9187892,-77.0691033,3,64.0
844,814039,2479,2015-10-13,09:30:00,Routine,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,38.9187892,-77.0691033,3,422.0
845,199896,1199,2013-11-13,09:55:00,Routine,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,38.901132,-77.006822,3,59.0
846,205940,1199,2014-09-04,10:21:00,Routine,6.0,1.0,3.0,0.0,0.0,0.0,3.0,1.0,38.901132,-77.006822,3,87.0
847,404613,1199,2014-05-28,11:30:00,Routine,3.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,38.901132,-77.006822,3,124.0
848,607009,1199,2015-01-12,13:12:00,Routine,6.0,1.0,3.0,0.0,0.0,0.0,3.0,1.0,38.901132,-77.006822,3,87.0
849,813243,1199,2015-09-04,12:15:00,Routine,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,38.901132,-77.006822,3,107.0
850,822691,1199,2016-03-02,22:13:00,Routine,4.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,38.901132,-77.006822,3,88.0
851,199905,3816,2013-11-15,10:30:00,Routine,9.0,1.0,5.0,0.0,0.0,0.0,4.0,1.0,38.9087758,-77.0090988,3,16.0
852,202465,3816,2014-03-24,12:40:00,Routine,5.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,38.9087758,-77.0090988,3,422.0
853,205379,3816,2014-08-13,13:25:00,Routine,8.0,1.0,1.0,0.0,0.0,0.0,7.0,1.0,38.9087758,-77.0090988,3,87.0
854,819878,3816,2015-10-26,11:10:00,Routine,3.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,38.9087758,-77.0090988,3,124.0
855,199915,5136,2013-11-15,13:30:00,Routine,6.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,38.9206836,-77.0715345,2,26.0
856,404620,5136,2014-10-01,11:30:00,Routine,8.0,2.0,0.0,0.0,0.0,0.0,8.0,2.0,38.9206836,-77.0715345,2,64.0
857,611901,5136,2015-04-28,11:00:00,Routine,10.0,3.0,2.0,0.0,0.0,0.0,8.0,3.0,38.9206836,-77.0715345,2,64.0
858,199917,2622,2013-11-15,23:31:00,Routine,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,38.9251382,-77.0213756,3,603.0
859,201666,2622,2014-02-12,10:15:00,Routine,8.0,1.0,5.0,0.0,0.0,0.0,3.0,1.0,38.9251382,-77.0213756,3,54.0
860,819963,2622,2015-10-30,12:45:00,Routine,4.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,38.9251382,-77.0213756,3,26.0
861,199968,4132,2013-11-19,10:10:00,Routine,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,38.8779782,-77.0040678,3,422.0
862,202787,4132,2014-04-03,11:10:00,Routine,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,38.8779782,-77.0040678,3,611.0
863,610264,4132,2015-03-03,12:10:00,Routine,5.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,38.8779782,-77.0040678,3,89.0
864,813862,4132,2015-10-06,10:50:00,Routine,4.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,38.8779782,-77.0040678,3,82.0
865,822877,4132,2016-03-08,10:04:00,Routine,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,38.8779782,-77.0040678,3,29.0
866,199990,4552,2013-11-20,12:16:00,Routine,8.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,38.8841781,-77.0284992,3,16.0
867,405235,4552,2014-10-28,10:40:00,Routine,11.0,2.0,4.0,0.0,0.0,0.0,7.0,2.0,38.8841781,-77.0284992,3,89.0
868,610749,4552,2015-03-19,12:44:00,Routine,4.0,1.0,1.0,3.0,0.0,1.0,3.0,1.0,38.8841781,-77.0284992,3,611.0
869,813296,4552,2015-09-11,11:00:00,Routine,7.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,38.8841781,-77.0284992,3,26.0
870,200007,4055,2013-11-20,13:10:00,Routine,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,38.8973612,-77.0252248,3,422.0
871,202868,4055,2014-04-07,14:06:00,Routine,12.0,2.0,9.0,0.0,0.0,0.0,3.0,2.0,38.8973612,-77.0252248,3,89.0
872,810210,4055,2015-05-07,12:29:00,Routine,3.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,38.8973612,-77.0252248,3,87.0
873,200061,3934,2013-11-22,11:15:00,Routine,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,38.9005139,-77.0091442,3,16.0
874,202738,3934,2014-04-02,12:50:00,Routine,4.0,2.0,4.0,0.0,1.0,0.0,0.0,1.0,38.9005139,-77.0091442,3,89.0
875,821791,3934,2016-01-26,11:07:00,Routine,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,38.9005139,-77.0091442,3,64.0
876,200104,1546,2013-11-22,22:40:00,Routine,8.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,38.9068753,-77.0437629,2,624.0
877,201829,1546,2014-02-20,14:30:00,Routine,7.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,38.9068753,-77.0437629,2,82.0
878,404373,1546,2014-09-23,13:35:00,Routine,4.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,38.9068753,-77.0437629,2,29.0
879,823098,1546,2016-03-11,13:50:00,Routine,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,38.9068753,-77.0437629,2,107.0
880,200117,5475,2013-11-22,11:15:00,Routine,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,38.9020497,-77.0063775,4,124.0
881,202973,5475,2014-04-10,10:09:00,Routine,14.0,0.0,11.0,0.0,0.0,0.0,3.0,0.0,38.9020497,-77.0063775,4,89.0
882,205523,5475,2014-08-19,09:45:00,Routine,18.0,1.0,10.0,0.0,1.0,0.0,8.0,0.0,38.9020497,-77.0063775,4,87.0
883,821790,5475,2016-01-26,10:25:00,Routine,3.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,38.9020497,-77.0063775,4,121.0
884,824975,5475,2016-05-25,09:30:00,Routine,9.0,4.0,0.0,0.0,0.0,0.0,9.0,4.0,38.9020497,-77.0063775,4,607.0
885,200122,1660,2013-11-25,10:00:00,Routine,6.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,38.8985685,-77.0310082,3,422.0
886,202616,1660,2014-03-28,09:52:00,Routine,15.0,2.0,8.0,0.0,0.0,0.0,7.0,2.0,38.8985685,-77.0310082,3,89.0
887,205425,1660,2014-08-11,13:30:00,Routine,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,38.8985685,-77.0310082,3,124.0
888,813946,1660,2015-10-07,11:30:00,Routine,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,38.8985685,-77.0310082,3,124.0
889,200138,1957,2013-11-25,12:35:00,Routine,8.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,38.9121208,-77.0444228,3,624.0
890,201500,1957,2014-02-05,15:30:00,Routine,2.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,38.9121208,-77.0444228,3,612.0
891,405661,1957,2014-11-07,12:26:00,Routine,4.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,38.9121208,-77.0444228,3,88.0
892,610743,1957,2015-03-19,13:45:00,Routine,3.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,38.9121208,-77.0444228,3,82.0
893,814316,1957,2015-10-21,10:24:00,Routine,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,38.9121208,-77.0444228,3,611.0
894,824667,1957,2016-05-16,10:45:00,Routine,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,38.9121208,-77.0444228,3,26.0
895,200141,4436,2013-11-25,14:20:00,Routine,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,38.8836013,-76.994593,2,611.0
896,202122,4436,2014-03-06,10:09:00,Routine,11.0,2.0,1.0,0.0,0.0,0.0,10.0,2.0,38.8836013,-76.994593,2,87.0
897,205412,4436,2014-08-14,14:19:00,Routine,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,38.8836013,-76.994593,2,26.0
898,610177,4436,2015-02-26,11:10:00,Routine,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,38.8836013,-76.994593,2,124.0
899,813144,4436,2015-09-03,14:30:00,Routine,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,38.8836013,-76.994593,2,603.0
900,200204,4200,2013-11-27,11:25:00,Routine,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,38.8872121,-77.0031545,3,611.0
901,203407,4200,2014-04-28,11:15:00,Routine,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,38.8872121,-77.0031545,3,124.0
902,205392,4200,2014-08-13,14:15:00,Routine,6.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,38.8872121,-77.0031545,3,624.0
