OBJECTID,LICENSE,TRADE_NAME,APPLICANT,CLASS,ENDORSEMENTS,ADDRESS,ADDRID,X,Y,DESCRIPTIO,STATUS,TYPE
270,ABRA-096001,BULLDOG TAVERN,BON  APPETTIT  MANAGEMENT   CO.,C,,3700 O STREET NW,291456,393618.3,137883.57,Restaurant,Active,Restaurant
271,ABRA-085100,Bullfeathers,"Bullfeathers, LLC",C,,410 1ST STREET SE,26982,399517.2,135202.38,Restaurant,Active,Restaurant
272,ABRA-097478,Burger Tap & Shake,"BTS Two, LLC",C,,4445 WISCONSIN AVENUE NW,265179,393136.34,142205.6,Restaurant,Active,Restaurant
273,ABRA-086394,Burka's Fine Wines & Liquors,Pega Corporation,A,,3500 WISCONSIN AVENUE NW,302284,393630.25,140921.98,Retail - Liquor Store,Active,Retail - Liquor Store
274,ABRA-077964,Busboys & Poets,"Busboy, Inc.",C,,1025 5TH STREET NW,305160,398377.59,137217.96,Restaurant,Active,Restaurant
275,ABRA-097639,Busboys & Poets,"Busboys of Anacostia, LLC",C,,2004 MARTIN LUTHER KING JR AVENUE SE,302031,400971.75,133159.24,Restaurant,405.1 New Const,Restaurant
276,ABRA-094546,Busboys & Poets,"Busboys of Brookland, LLC",C,,625 MONROE STREET NE,309938,400256.57,140463.91,Restaurant,Active,Restaurant
277,ABRA-071220,Busboys & Poets,"14th & V, Inc.",C,,1390 V STREET NW,297785,397267.49,138900.81,Restaurant,Active,Restaurant
278,ABRA-092008,Busboys & Poets - Takoma,"Busboys of Takoma, LLC",C,,235 CARROLL STREET NW,245143,398667.69,145244.88,Restaurant,Active,Restaurant
279,ABRA-014225,Cactus Cantina,"LPM, Inc.",C,,3300 WISCONSIN AVENUE NW,221506,393695.83,140648.61,Restaurant,Active,Restaurant
280,ABRA-077797,Cafe 8,"Cafe Bistro MED, LLC",C,,424 8TH STREET SE,148433,400461.52,135022.35,Restaurant,Active,Restaurant
281,ABRA-087668,Cafe AKA,Cafe AKA White House LLC,C,,1710 H STREET NW,218432,396504.91,136901.48,Tavern,Active,Tavern
